ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family
sherkalykhanty,Sherkaly Khanty,khan1273,,,,,,
verkhnekalymskkhanty,Verkhne-Kalymsk Khanty,khan1273,,,,,,
kondakhanty,Konda Khanty,khan1273,,,,,,
kazymkhanty,Kazym Khanty,khan1273,,,,,,
nizjamkhanty,Nizjam Khanty,khan1273,,,,,,
upperdemjankakhanty,Upper Demjanka Khanty,khan1273,,,,,,
jugankhanty,Jugan Khanty,khan1273,,,,,,
tavdamansi,Tavda Mansi,mans1258,,,,,,
obdorskkhanty,Obdorsk Khanty,khan1273,,,,,,
kondamansi,Konda Mansi,khan1273,,,,,,
malyjjugankhanty,Malyj Jugan Khanty,khan1273,,,,,,
vartovskojekhanty,Vartovskoje Khanty,khan1273,,,,,,
pelymkamansi,Pelymka Mansi,mans1258,,,,,,
middlelozvamansi,Middle Lozva Mansi,mans1258,,,,,,
vasjugankhanty,Vasjugan Khanty,khan1273,,,,,,
vakhkhanty,Vakh Khanty,khan1273,,,,,,
tremjugankhanty,Tremjugan Khanty,mans1258,,,,,,
synjakhanty,Synja Khanty,khan1273,,,,,,
northmansi,North Mansi,mans1258,,,,,,
likrisovskojekhanty,Likrisovskoje Khanty,khan1273,,,,,,
lowerlozvamansi,Lower Lozva Mansi,,,,,,,
